ID,FIPS,AREA,TOTAL POPULATION,WHITE,AFRICAN AMERICAN,AMERICAN INDIAN AND ALASKA NATIVE,ASIAN,NATIVE HAWAIIAN AND PACIFIC ISLANDER,OTHERS,TWO OR MORE RACES,LONGITUDE,LATITUDE
0,42001,Adams,101407,94979,1561,213,746,20,2544,1344,-77.22224271,39.87209565
1,42003,Allegheny,1223348,997295,161861,1702,34090,278,5523,22599,-79.98619843,40.46735543
2,42005,Armstrong,68941,67565,553,45,150,9,91,528,-79.47316899,40.81509526
3,42007,Beaver,170539,155561,10676,181,724,40,403,2954,-80.35107356,40.68349245
4,42009,Bedford,49762,48782,238,75,101,14,151,401,-78.49116474,40.00737536
5,42011,Berks,411442,342148,20143,1285,5385,128,32101,10252,-75.93077327,40.41939635
6,42013,Blair,127089,122238,2129,143,706,29,297,1547,-78.34907687,40.48555024
7,42015,Bradford,62622,61035,311,154,339,7,130,646,-76.51825624,41.79117814
8,42017,Bucks,625249,557647,22376,1232,24008,174,9430,10382,-75.11291241,40.33501133
9,42019,Butler,183862,177605,2021,194,1838,50,462,1692,-79.91711779,40.91083185
10,42021,Cambria,143679,135206,5222,147,729,29,588,1758,-78.71894174,40.49127491
11,42023,Cameron,5085,5000,13,13,14,0,3,42,-78.20916932,41.43880265
12,42025,Carbon,65249,62519,976,123,311,27,504,789,-75.71107039,40.91936701
13,42027,Centre,153990,137625,4638,191,7986,48,1142,2360,-77.82500112,40.9193135
14,42029,Chester,498886,426707,30623,862,19296,161,12207,9030,-75.75626498,39.97487056
15,42031,Clarion,39988,38873,484,58,191,8,59,315,-79.42483608,41.19279129
16,42033,Clearfield,81642,77912,1862,86,389,16,652,725,-78.47558343,41.000429
17,42035,Clinton,39238,37860,625,34,200,15,171,333,-77.6428376,41.23286274
18,42037,Columbia,67295,64227,1246,87,563,15,450,707,-76.4100218,41.04912086
19,42039,Crawford,88765,85448,1547,162,403,19,170,1016,-80.11321083,41.68546907
20,42041,Cumberland,235406,213934,7527,363,7072,65,2203,4242,-77.26866271,40.16759839
21,42043,Dauphin,268100,194910,48386,578,8580,78,7284,8284,-76.77960568,40.41974636
22,42045,Delaware,558979,405233,110260,874,26277,145,5211,10979,-75.40627712,39.91657867
23,42047,Elk,31946,31469,89,34,96,6,42,210,-78.64947713,41.42819416
24,42049,Erie,280566,247569,20155,566,3077,90,3231,5878,-80.0407591,41.99413787
25,42051,Fayette,136606,127418,6325,184,405,24,411,1839,-79.65189635,39.9194478
26,42053,Forest,7716,5937,1389,13,12,1,318,46,-79.23780995,41.51357876
27,42055,Franklin,149618,137674,4700,302,1310,29,2849,2754,-77.72398845,39.92786197
28,42057,Fulton,14845,14450,151,28,19,1,42,154,-78.11485045,39.92487511
29,42059,Greene,38686,36584,1282,67,113,7,258,375,-80.22943817,39.85480393
30,42061,Huntingdon,45913,42470,2392,41,184,2,400,424,-77.9827661,40.416105
31,42063,Indiana,88880,84360,2434,124,774,10,341,837,-79.09333493,40.65295497
32,42065,Jefferson,45200,44446,157,86,92,3,55,361,-79.00101814,41.13139091
33,42067,Juniata,24636,23845,151,31,85,3,279,242,-77.405775,40.53433008
